,adult,backdrop_path,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path,belongs_to_collection
0,False,/nLitXHcOD2jxwE6rq6sTi4ZMmo5.jpg,150000000,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",http://iamlegend.warnerbros.com,6479,tt0480249,['US'],en,I Am Legend,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",52.203,/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 79, 'logo_path': '/at4uYdwAAgNRKhZuuFX8ShKSybw.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 433, 'logo_path': '/iafkKMpcRfEXq9a4sQf0h6tg2E2.png', 'name': 'Weed Road Pictures', 'origin_country': 'US'}, {'id': 907, 'logo_path': '/ca5SWI5uvU985f8Kbb4xc8AmVWH.png', 'name': 'Overbrook Entertainment', 'origin_country': 'US'}, {'id': 437, 'logo_path': '/nu20mtwbEIhUNnQ5NXVhHsNknZj.png', 'name': 'Heyday Films', 'origin_country': 'GB'}, {'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-12-12,585410052,101,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The last man on Earth is not alone,I Am Legend,False,7.208,15555,945984.0,I Am Legend Collection,/kMWArwXFzMwCzRMRzJqZBC6d22A.jpg,/nvwI0ohPlC4M9rBMr3ZORFvcMQr.jpg,
0,False,/sZIJkZPKySo398Me4HLeUM7eCy0.jpg,0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",http://www.naruto-movie.com/,20982,tt0988982,['JP'],ja,劇場版 NARUTO -ナルト- 疾風伝,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",51.61,/vDkct38sSFSWJIATlfJw0l3QOIR.jpg,"[{'id': 3234, 'logo_path': '/wTPPnz05ZCQgEQVeSOxTkUCyhr5.png', 'name': 'Pierrot', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2007-08-04,10000000,94,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Naruto Shippuden the Movie,False,7.42,890,23616.0,Naruto Collection,/cmKBGxVSAykHsnCL27wX4PIjNZI.jpg,/prLI2SNNkd9wcQkFh9iWXzQtR5D.jpg,
0,False,/giYuvpmpZbwkT3NtX4WdNYqGhxw.jpg,20000000,"[{'id': 35, 'name': 'Comedy'}]",https://www.sonypictures.com/movies/superbad,8363,tt0829482,['US'],en,Superbad,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,46.793,/ek8e8txUyUwd2BNqj6lFEerJfbq.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 10105, 'logo_path': '/bN4tiAS8oNlHhIqq66KBPQ1Ekqh.png', 'name': 'Apatow Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-03-20,170800000,113,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Come and get some!,Superbad,False,7.252,7199,,,,,
0,False,/nMgQD51KzAqrt4F6iwxw5TetVLW.jpg,10000000,"[{'id': 35, 'name': 'Comedy'}]",http://www.meetnorbit.com/,9757,tt0477051,['US'],en,Norbit,"A mild-mannered guy who is engaged to a monstrous woman meets the woman of his dreams, and schemes to find a way to be with her.",46.731,/adBqvVwyzHgDzZJnNCqe8RWImxV.jpg,"[{'id': 2184, 'logo_path': None, 'name': 'Tollin/Robbins Productions', 'origin_country': ''}, {'id': 1302, 'logo_path': '/zC3b70ixHh89qJIikLQPEvLqbPM.png', 'name': 'Davis Entertainment', 'origin_country': 'US'}, {'id': 7, 'logo_path': '/vru2SssLX3FPhnKZGtYw00pVIS9.png', 'name': 'DreamWorks Pictures', 'origin_country': 'US'}, {'id': 30, 'logo_path': None, 'name': 'Eddie Murphy Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-02-08,159814490,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Have You Ever Made A Really Big Mistake?,Norbit,False,5.667,2350,,,,,
0,False,/kd9jFTTabg4xJpHDgxY0h8F9BzG.jpg,25000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,6977,tt0477348,['US'],en,No Country for Old Men,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",44.685,/bj1v6YKF8yHqA489VFfnQvOJpnc.jpg,"[{'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}, {'id': 838, 'logo_path': '/tcW3UqV46Mdq6GyaS1ydEDocEDF.png', 'name': 'Paramount Vantage', 'origin_country': 'US'}, {'id': 258, 'logo_path': None, 'name': 'Scott Rudin Productions', 'origin_country': 'US'}, {'id': 2092, 'logo_path': '/9IAf3DxvsjOVSQVjX5F22jTU4Nh.png', 'name': 'Mike Zoss Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-06-13,171627166,122,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,There are no clean getaways.,No Country for Old Men,False,7.945,11850,,,,,
0,False,/7zS58YPAw002RNejOF1vNB3XHbW.jpg,110000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",https://www.sonypictures.com/movies/ghostrider,1250,tt0259324,['US'],en,Ghost Rider,"In order to save his dying father, young stunt cyclist Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",44.508,/8LaVQiXBsnlo7MXCPK1nXTVARUZ.jpg,"[{'id': 20241, 'logo_path': None, 'name': 'Crystal Sky Pictures', 'origin_country': 'US'}, {'id': 7295, 'logo_path': '/62E1B91PxZw8q4KNkge5Qemo7EM.png', 'name': 'Relativity Media', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 216248, 'logo_path': None, 'name': 'Canarsie', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-01-15,228738393,114,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Long ago he made a deal to save someone he loved.,Ghost Rider,False,5.574,5845,90306.0,Ghost Rider Collection,/bZBasloaMhjxCwH6tV0eziNMqut.jpg,/cNRAWtbItigb2oFwXpcDi6mjMQm.jpg,
0,False,/lKkkogTlIQT8o83GFQZZ3CA9MzB.jpg,60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}]",http://www.chipmunks.com/,6477,tt0952640,['US'],en,Alvin and the Chipmunks,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",42.422,/wEssFe5LCywsLfAcwELVXE38Fbj.jpg,"[{'id': 711, 'logo_path': '/tEiIH5QesdheJmDAqQwvtN60727.png', 'name': 'Fox 2000 Pictures', 'origin_country': 'US'}, {'id': 508, 'logo_path': '/7cxRWzi4LsVm4Utfpr1hfARNurT.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 10930, 'logo_path': '/gTl5zq214ifd2qW7sp7to0aHS6C.png', 'name': 'Bagdasarian Productions', 'origin_country': ''}, {'id': 444, 'logo_path': None, 'name': 'Dune Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-12-13,361366633,92,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,The Original Entourage,Alvin and the Chipmunks,False,5.8,4372,167613.0,Alvin and the Chipmunks Collection,/fLvRQcuk5ZFKnDvUC553XK3OnPC.jpg,/qI483yHct3PBtIiOH3K3SVNUDq5.jpg,
0,False,/aLu0VGH95EBDRvM57j5eN0x0FEw.jpg,12000000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",http://trickrtreat-movie.warnerbros.com/,23202,tt0862856,['US'],en,Trick 'r Treat,"Four interwoven stories that occur on Halloween: an everyday high school principal has a secret life as a serial killer; a college virgin might have just met the one guy for her; a group of teenagers pull a mean prank, and a bitter old recluse receives an uninvited guest.",40.87,/w0nmol4g7n6MFfhfphV7GzHHYjB.jpg,"[{'id': 923, 'logo_path': '/8M99Dkt23MjQMTTWukq4m5XsEuo.png', 'name': 'Legendary Pictures', 'origin_country': 'US'}, {'id': 9168, 'logo_path': '/hQNXrYIuyLRxMSBuGHk0GX7CCBS.png', 'name': 'Bad Hat Harry Productions', 'origin_country': 'US'}, {'id': 23784, 'logo_path': None, 'name': 'Little Sam Films', 'origin_country': ''}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-12-09,27909,82,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Poison, drowning, claw, or knife. So many ways to take a life.",Trick 'r Treat,False,6.984,1806,1226742.0,Trick 'r Treat Collection,/8rUcjM3ibl069JJPJgLo60q8SsH.jpg,/A5nuJwBHiU1iIsWVUtTslrEZLyI.jpg,
0,False,/l8KLExTwAIJpSOnvNJ5CqpWjzNH.jpg,150000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",http://www.beemovie.com/,5559,tt0389790,['US'],en,Bee Movie,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",40.078,/fmW0Ki5z2EEkOh95o3zXCkFfUzk.jpg,"[{'id': 1903, 'logo_path': None, 'name': 'Columbus 81 Productions', 'origin_country': 'US'}, {'id': 521, 'logo_path': '/3BPX5VGBov8SDqTV7wC1L1xShAS.png', 'name': 'DreamWorks Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-10-28,287594577,91,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Honey just got funny.,Bee Movie,False,6.028,4794,,,,,
0,False,/qSx994cBgJ2jgc5Gx4hc3QjtJP0.jpg,10000000,"[{'id': 35, 'name': 'Comedy'}]",,8277,tt0974959,['US'],en,American Pie Presents: Beta House,"Erik, Ryan, and Cooze start college and pledge the Beta House fraternity, presided over by none other than legendary Dwight Stifler. But chaos ensues when a fraternity of geeks threatens to stop the debauchery and the Betas have to make a stand for their right to party.",40.075,/j7eGbwVb9hTaRFWMlSa7C1OYp3T.jpg,"[{'id': 134, 'logo_path': None, 'name': 'Rogue Pictures', 'origin_country': 'US'}, {'id': 2811, 'logo_path': None, 'name': 'Neo Art & Logic', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",2007-12-26,18610260,89,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The most outrageous slice of pie!,American Pie Presents: Beta House,False,5.658,1863,298820.0,American Pie (Spin-off) Collection,/mE0oCbit0aUd4F7T1Fz538mSmSn.jpg,/sEz84D4EP86mKDl7c2wgSj1KElr.jpg,
