,id,release,release_date,opening_revenue,opening_theaters,budget,origin_country,production_companies,production_countries,runtime,belongs_to_collection.id,belongs_to_collection.name,production_room,writers_room,sound_room,crew,based_on_novel,producer_credits,producer_medianrating,writer_credits,writer_medianrating,director_credits,director_medianrating,lead_credits,lead_medianrating,opening_revenue_bytheater,is_series,num_production_companies,is_spring,is_summer,is_fall,is_holiday,12,14,16,18,27,28,35,36,37,53,80,99,878,9648,10402,10749,10751,10752
10,272,Batman Begins,2005-06-10,48745440.0,3858.0,150000000,['US'],"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 429, 'logo_path': '/2Tc1P3Ac8M479naPp1kYT3izLS5.png', 'name': 'DC', 'origin_country': 'US'}, {'id': 9996, 'logo_path': '/3tvBqYsBhxWeHlu62SIJ1el93O7.png', 'name': 'Syncopy', 'origin_country': 'GB'}, {'id': 923, 'logo_path': '/8M99Dkt23MjQMTTWukq4m5XsEuo.png', 'name': 'Legendary Pictures', 'origin_country': 'US'}, {'id': 19231, 'logo_path': None, 'name': 'Patalex III Productions Limited', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",140,263.0,The Dark Knight Collection,39,3,28,63,0,68,6.541499999999999,18,5.800000000000001,7,6.515,219,6.0,12634.898911353033,1,540,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,4551,Be Cool,2005-03-04,23450212.0,3216.0,53000000,['US'],"[{'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 216, 'logo_path': '/iKPzC6YxqNAk6fMoTtFhIF5p6yw.png', 'name': 'Jersey Films', 'origin_country': 'US'}, {'id': 215, 'logo_path': '/tQyeqkCj24krhY2W8qeAztcOS37.png', 'name': 'Double Feature Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",118,91698.0,Chili Palmer Collection,9,2,3,26,1,84,6.385,3,5.5,6,7.1285,170,6.3505,7291.732587064676,1,344,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,14177,Beauty Shop,2005-04-22,12801465.0,2659.0,25000000,['US'],"[{'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 2780, 'logo_path': '/hgdyY2exOpOXG3EkQR8WsUAUNBZ.png', 'name': 'Cube Vision', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",105,,,13,3,1,2,0,42,6.0,0,0.0,3,6.6,126,6.2,4814.3907484016545,0,226,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13,17880,Because of Winn-Dixie,2005-02-18,10208431.0,3188.0,14000000,['US'],"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",106,,,7,2,15,0,1,11,5.967,0,0.0,15,6.0,123,6.0,3202.142722710163,0,113,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,9722,Bewitched,2005-06-21,20131130.0,3174.0,85000000,['US'],"[{'id': 84893, 'logo_path': None, 'name': 'Bewitched', 'origin_country': ''}, {'id': 14440, 'logo_path': '/5QbaGiuxc91D6qf75JZGX6OKXoU.png', 'name': 'Red Wagon Entertainment', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 3614, 'logo_path': '/qFRpYYtU9iyVKDMpm3a8tN7Q7YE.png', 'name': 'Columbia Pictures Television', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",102,,,9,3,1,18,0,41,6.0,18,6.05,6,5.9025,231,6.224,6342.511027095148,0,439,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15,8968,Boogeyman,2005-02-04,19020655.0,3052.0,20000000,"['NZ', 'DE', 'US']","[{'id': 7893, 'logo_path': None, 'name': 'Pacific Renaissance Pictures', 'origin_country': 'NZ'}, {'id': 3287, 'logo_path': '/bz6GbCQQXGNE56LTW9dwgksW0Iw.png', 'name': 'Screen Gems', 'origin_country': 'US'}, {'id': 768, 'logo_path': None, 'name': 'Ghost House Pictures', 'origin_country': 'US'}, {'id': 830, 'logo_path': '/mYga54mrt5n4GUUcJxE6DmR2FKv.png', 'name': 'Senator International', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",89,96937.0,Boogeyman Collection,12,3,11,4,0,22,5.7635000000000005,1,0.0,5,5.2,16,6.1,6232.193643512451,1,414,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
16,142,Brokeback Mountain,2005-10-22,547425.0,5.0,14000000,['US'],"[{'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}, {'id': 1246, 'logo_path': '/s0doRYEVWp3a4Y4Cg7R4fE9cwov.png', 'name': 'River Road Entertainment', 'origin_country': 'US'}, {'id': 3997, 'logo_path': None, 'name': 'Alberta Film Entertainment', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",134,,,16,3,24,10,1,49,6.355,4,6.8,11,6.9,103,6.0,109485.0,0,332,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,308,Broken Flowers,2005-07-31,780408.0,27.0,10000000,['US'],"[{'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}, {'id': 208, 'logo_path': '/bxQYlRhQu6nbohBEL0SWz8xIAGy.png', 'name': 'Bac Films', 'origin_country': 'FR'}, {'id': 22456, 'logo_path': None, 'name': 'Five Roses', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}]",106,,,29,4,18,58,0,17,6.647,13,6.9,17,7.152,165,5.8,28904.0,0,301,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
18,398,Capote,2005-09-30,324857.0,12.0,7000000,['US'],"[{'id': 60, 'logo_path': '/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png', 'name': 'United Artists', 'origin_country': 'US'}, {'id': 54281, 'logo_path': None, 'name': 'A-Line Pictures', 'origin_country': 'US'}, {'id': 213, 'logo_path': None, 'name': ""Cooper's Town"", 'origin_country': 'US'}, {'id': 54280, 'logo_path': None, 'name': 'Infinity Media', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",114,,,6,2,2,0,1,28,5.65,0,0.0,1,7.1,124,6.0,27071.416666666668,0,361,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,9681,Casanova,2005-12-25,119276.0,37.0,20000000,['US'],"[{'id': 44517, 'logo_path': None, 'name': 'Power', 'origin_country': ''}, {'id': 9195, 'logo_path': '/geK5QOBsXIPGHutKwXtYjMUyYSG.png', 'name': 'Touchstone Pictures', 'origin_country': 'US'}, {'id': 1557, 'logo_path': '/ccz9bqCu3jSFKbPFnfWmjAKZLBL.png', 'name': 'The Mark Gordon Company', 'origin_country': 'US'}, {'id': 75016, 'logo_path': None, 'name': 'Gondola Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",112,,,9,3,12,3,0,65,6.0,3,6.7,22,6.3309999999999995,107,6.3,3223.675675675676,0,397,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,118,Charlie and the Chocolate Factory,2005-07-13,56178450.0,3770.0,150000000,['US'],"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 79, 'logo_path': '/at4uYdwAAgNRKhZuuFX8ShKSybw.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 80, 'logo_path': '/i6B0AIrUESLt5Fm6MOPXmuPhsvA.png', 'name': 'The Zanuck Company', 'origin_country': 'US'}, {'id': 81, 'logo_path': '/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png', 'name': 'Plan B Entertainment', 'origin_country': 'US'}, {'id': 55512, 'logo_path': None, 'name': 'Theobald Film Productions', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",115,,,37,2,26,30,0,120,6.077,7,6.9,21,6.409,112,6.59,14901.445623342175,0,568,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21,9641,Cheaper by the Dozen 2,2005-12-21,9309387.0,3175.0,60000000,"['US', 'CA']","[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 2575, 'logo_path': '/9YJrHYlcfHtwtulkFMAies3aFEl.png', 'name': '21 Laps Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",94,114783.0,Cheaper by the Dozen (2003) Collection,7,4,1,5,1,22,5.45,3,6.151,5,5.988,114,6.0,2932.0903937007874,1,233,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22,9982,Chicken Little,2005-11-04,40049778.0,3654.0,150000000,['US'],"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 171656, 'logo_path': '/4UBohOtIr9DtxylH48Qsg6aDow6.png', 'name': 'Walt Disney Feature Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",81,,,7,7,10,13,0,1,7.6,3,7.27,2,7.4,63,6.0,10960.530377668309,0,246,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,921,Cinderella Man,2005-06-02,18320205.0,2812.0,88000000,['US'],"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}, {'id': 23, 'logo_path': '/bJOFo2ufq7iFC1F4qZm8aLxF5aS.png', 'name': 'Imagine Entertainment', 'origin_country': 'US'}, {'id': 187063, 'logo_path': None, 'name': 'Brian Grazer Productions', 'origin_country': 'US'}, {'id': 1350, 'logo_path': None, 'name': 'Parkway Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",144,,,14,2,6,31,0,89,6.3,9,6.7,22,6.449999999999999,85,6.2,6515.008890469417,0,518,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
24,7214,Coach Carter,2005-01-14,24182961.0,2524.0,30000000,['US'],"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 746, 'logo_path': '/kc7bdIVTBkJYy9aDK1QDDTAL463.png', 'name': 'MTV Films', 'origin_country': 'US'}, {'id': 2184, 'logo_path': None, 'name': 'Tollin/Robbins Productions', 'origin_country': ''}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",136,,,9,2,1,0,0,46,6.15,5,5.779,7,6.7,61,6.22,9581.204833597465,0,314,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,561,Constantine,2005-02-08,29769098.0,3006.0,100000000,['US'],"[{'id': 79, 'logo_path': '/at4uYdwAAgNRKhZuuFX8ShKSybw.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 430, 'logo_path': None, 'name': 'Lonely Film Productions GmbH & Co. KG.', 'origin_country': 'DE'}, {'id': 431, 'logo_path': '/6dcR1MbRqYgt3jUVYxkHe68GFnZ.png', 'name': ""The Donners' Company"", 'origin_country': 'US'}, {'id': 432, 'logo_path': None, 'name': 'Batfilm Productions', 'origin_country': 'US'}, {'id': 433, 'logo_path': '/iafkKMpcRfEXq9a4sQf0h6tg2E2.png', 'name': 'Weed Road Pictures', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 787, 'logo_path': '/cCefBs1t7jxtiz3eCxBp9yxrxGx.png', 'name': '3 Arts Entertainment', 'origin_country': 'US'}, {'id': 165407, 'logo_path': '/5fnvtywvYSkskSJr99VcR3x9RTE.png', 'name': 'DC Vertigo', 'origin_country': 'US'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",121,1025281.0,Constantine Collection,42,6,40,61,0,81,6.1,4,5.1,4,7.75,89,6.2,9903.22621423819,1,897,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,3933,Corpse Bride,2005-09-12,388166.0,5.0,40000000,['US'],"[{'id': 8601, 'logo_path': '/kqubCH3sfBAk4znUj7hjqv8ffgi.png', 'name': 'Tim Burton Productions', 'origin_country': 'US'}, {'id': 11537, 'logo_path': '/AgCkAk8EpUG9fTmK6mWcaJA2Zwh.png', 'name': 'Laika', 'origin_country': 'US'}, {'id': 57751, 'logo_path': None, 'name': 'Patalex Productions', 'origin_country': 'GB'}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 1515, 'logo_path': '/bU7G4LZfEk9SxlnlU7uUdRgOmja.png', 'name': 'Will Vinton Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",77,,,22,12,55,53,0,15,6.4,19,6.9,22,6.5045,119,6.647,77633.2,0,552,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,1640,Crash,2005-05-06,9107071.0,1864.0,6500000,['US'],"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 2087, 'logo_path': None, 'name': 'Blackfriars Bridge Films', 'origin_country': ''}, {'id': 2448, 'logo_path': None, 'name': 'Yari Film Group', 'origin_country': ''}, {'id': 12260, 'logo_path': None, 'name': 'Bob Yari Productions', 'origin_country': 'US'}, {'id': 19528, 'logo_path': None, 'name': 'ApolloProScreen Filmproduktion', 'origin_country': ''}, {'id': 25432, 'logo_path': None, 'name': ""Bull's Eye Entertainment"", 'origin_country': ''}, {'id': 25433, 'logo_path': None, 'name': 'DEJ Productions', 'origin_country': 'US'}, {'id': 25434, 'logo_path': None, 'name': 'Harris Company', 'origin_country': ''}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",112,,,34,4,19,34,0,40,5.6,5,6.0,1,6.0,111,6.1,4885.767703862661,0,728,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,10012,Cursed,2005-02-25,9600000.0,2805.0,35000000,['US'],"[{'id': 20376, 'logo_path': None, 'name': 'Kalis Productions GmbH & Co. Zweite KG', 'origin_country': ''}, {'id': 1600, 'logo_path': None, 'name': 'Craven-Maddalena Films', 'origin_country': ''}, {'id': 2180, 'logo_path': None, 'name': 'Outerbanks Entertainment', 'origin_country': 'US'}, {'id': 7405, 'logo_path': '/rfnws0uY8rsNAsrLbx3gEIcYXx3.png', 'name': 'Dimension Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",99,,,57,1,39,110,0,288,6.019,6,6.227,23,6.0,70,5.55,3422.4598930481284,0,402,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
