,Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,plus_mins,expected_plus_mins,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP.1,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF.1,iFF,iSF,iSF.1,iSF.2,ixG,iSCF,iRB,iRS,iDS,sDist,sDist.1,Pass,iHF,iHF.1,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA.1,iTKA.1,iBLK.1,BLK%,iFOW,iFOL,iFOW.1,iFOL.1,FO_pct,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,OTOI,Grit,DAP,Pace,GS,GS/G,Is_Offense,Salary_log
10,0.8,86-07-27,Lively,ON,CAN,CAN,73,195,,,,L,Desjardins,Andrew,LW/C,CHI,46,0,1,0,1,1,-6,0.8,22,607,25948,432.3,9.4,9.4,18.2,10.0,4.8,0.912,959.0,1.39,2.64,34.5,-9,-1.25,84.0,84,59.0,46.0,46,46,4.5,19.0,2.0,4.0,6.0,27.0,26.1,0.0,73,73.0,57.0,16.0,13,10,9,17,10.0,9.0,17.0,3.9,39,30,39.0,30.0,56.5,19.2,19,9,9,12,11,9,12,5,4,10,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,2,3,5,1,34,8,9,8.0,7.0,1,-1.1,6,2,0,0,0,386.0,439.0,272.0,307.0,209.0,215.0,17.4,21.2,51.0,71.0,10.0,19.0,11.0,14.0,19.0,22.0,30,36,164.0,196.0,183.0,229.0,65.0,55.0,19.0,20.0,-1.1,0.1,-1.0,1937.88,114,13.7,114.5,3.7,0.08,1,-0.2231435513142097
11,0.6,92-04-09,Ile Bizard,QC,CAN,CAN,74,204,2010.0,3.0,89.0,L,Chaput,Michael,C,VAN,68,4,5,2,3,9,-12,-5.7,29,1115,44970,749.1,11.02,11.02,20.5,56.3,4.7,0.924,971.0,1.28,2.48,34.0,-15,-1.2,113.0,113,80.0,64.0,64,64,6.6,29.0,9.0,5.0,14.0,28.4,24.5,79.0,68,68.0,52.0,16.0,16,14,13,29,14.0,13.0,29.0,4.0,203,182,203.0,182.0,52.7,59.5,61,60,86,70,56,52,74,59,65,68,143,116,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,15,5,5,5,5,4,0,40,13,8,13.0,7.0,-5,-5.9,12,1,0,0,0,611.0,733.0,450.0,555.0,339.0,409.0,22.9,32.5,81.0,102.0,16.0,31.0,18.0,26.0,25.0,23.0,43,49,330.0,317.0,327.0,307.0,71.0,77.0,45.0,38.0,-0.8,0.5,-0.3,2903.93,127,6.8,107.6,5.7,0.08,1,-0.5108256237659907
12,1.0,88-03-17,Brandon,MB,CAN,CAN,72,200,2006.0,3.0,66.0,R,White,Ryan,C,ARI/MIN,65,9,7,4,3,16,-16,-9.0,84,948,41566,692.7,10.65,10.65,20.7,76.2,6.8,0.894,962.0,1.82,3.38,35.0,-18,-1.56,103.0,103,81.0,60.0,60,60,5.5,21.0,7.0,9.0,16.0,32.1,30.5,105.1,187,187.0,69.0,118.0,21,10,11,33,10.0,11.0,33.0,4.7,39,52,39.0,52.0,42.9,14.3,17,23,9,7,13,22,11,20,11,18,29,29,0,0,1,0,0,0,1,0,0,2,2,0,4,0,0,3,18,1,0,7,6,2,0,44,21,7,15.0,7.0,-14,-7.0,12,6,0,3,0,560.0,700.0,421.0,539.0,309.0,368.0,21.3,32.1,63.0,99.0,21.0,39.0,26.0,25.0,30.0,27.0,56,52,320.0,318.0,497.0,300.0,62.0,51.0,43.0,36.0,0.8,0.1,0.9,2649.17,310,16.5,109.1,7.8,0.12,1,0.0
13,0.925,96-06-20,Holland Landing,ON,CAN,CAN,73,186,2014.0,1.0,4.0,L,Bennett,Sam,C,CGY,81,13,13,7,6,26,-16,-0.6,75,1613,72839,1212.7,14.98,14.98,26.2,65.0,7.7,0.906,983.0,1.98,2.62,43.0,-13,-0.64,215.0,215,169.0,122.0,122,122,13.3,45.0,12.0,19.0,31.0,27.0,26.6,211.4,127,127.0,66.0,61.0,47,25,43,46,25.0,43.0,46.0,4.4,374,437,374.0,437.0,46.1,72.1,115,125,141,163,118,149,118,137,127,159,219,255,0,3,0,1,0,0,0,0,2,1,1,0,9,1,0,9,37,13,0,5,9,16,2,77,33,21,32.0,16.0,-12,-11.9,30,3,0,0,0,1004.0,1048.0,739.0,778.0,519.0,562.0,40.8,46.3,115.0,150.0,40.0,53.0,21.0,28.0,52.0,45.0,73,73,537.0,588.0,426.0,334.0,213.0,175.0,85.0,80.0,0.8,0.8,1.6,3411.7,251,5.7,101.5,21.6,0.27,1,-0.0779615414697118
14,0.95,89-04-20,Red Deer,AB,CAN,CAN,72,195,2007.0,4.0,112.0,R,Sceviour,Colton,C/RW,FLA,80,9,15,9,6,24,-16,-6.5,25,1596,70241,1169.7,14.63,14.63,26.0,68.6,6.3,0.911,974.0,1.8,2.82,38.9,-20,-1.03,264.0,264,220.0,172.0,172,172,14.5,51.0,17.0,13.0,30.0,31.2,28.7,265.1,108,108.0,93.0,15.0,48,23,40,64,23.0,40.0,64.0,5.8,31,27,31.0,27.0,53.4,5.2,12,10,6,4,13,13,15,10,7,10,18,15,0,2,1,0,0,0,1,0,0,1,0,0,7,0,2,1,45,18,1,24,34,5,9,81,10,12,11.0,7.0,2,-7.4,9,1,0,0,0,962.0,1113.0,740.0,838.0,556.0,619.0,41.5,54.1,123.0,171.0,35.0,55.0,33.0,42.0,51.0,52.0,84,94,543.0,572.0,482.0,360.0,177.0,157.0,66.0,67.0,0.4,0.9,1.3,3327.53,198,16.4,106.4,27.4,0.34,1,-0.05129329438755058
15,0.68,94-01-06,Edmonton,AB,CAN,CAN,74,187,2012.0,4.0,105.0,L,Kulak,Brett,D,CGY,21,0,3,2,1,3,-3,-0.4,12,415,17945,299.1,14.25,14.24,27.9,42.9,5.2,0.921,973.0,1.4,2.41,36.8,-5,-1.0,53.0,53,30.0,19.0,19,19,1.0,1.0,1.0,4.0,5.0,54.7,46.3,74.4,14,14.0,15.0,-1.0,11,10,4,13,10.0,4.0,13.0,5.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,6,0,0,5,6,1,5.0,0.0,-5,-3.5,6,0,0,0,0,271.0,262.0,187.0,205.0,134.0,152.0,11.7,12.1,36.0,33.0,7.0,12.0,12.0,9.0,15.0,15.0,27,24,128.0,127.0,145.0,115.0,55.0,30.0,22.0,24.0,-0.1,0.4,0.4,771.85,39,3.0,106.9,3.0,0.14,0,-0.3856624808119846
16,0.59,92-04-24,Oakville,ON,CAN,CAN,71,183,2011.0,7.0,209.0,L,Wilson,Scott,LW/C,PIT,78,8,18,11,7,26,0,7.8,32,1253,51220,853.5,10.95,10.95,21.7,72.2,7.8,0.916,994.0,2.53,2.46,50.7,1,0.07,215.0,214,172.0,127.0,127,127,13.9,52.0,8.0,10.0,18.0,27.0,25.6,249.0,167,167.0,171.0,-4.0,45,11,20,31,11.0,20.0,31.0,3.9,3,0,3.0,0.0,100.0,0.4,0,0,1,0,2,0,1,0,2,0,3,0,0,3,1,0,0,1,3,1,1,0,0,0,3,1,6,4,34,15,2,8,23,13,5,61,9,20,9.0,19.0,11,11.3,6,2,0,1,0,820.0,791.0,624.0,565.0,462.0,419.0,45.0,37.6,152.0,129.0,36.0,35.0,50.0,42.0,37.0,31.0,87,73,391.0,398.0,497.0,545.0,109.0,74.0,44.0,57.0,1.4,0.6,2.0,3086.34,232,31.2,113.3,29.6,0.38,1,-0.527632742082372
17,0.65,91-05-13,St. Catharines,ON,CAN,CAN,74,203,2009.0,3.0,70.0,R,Beck,Taylor,LW,EDM/NYR,5,0,0,0,0,0,-3,-1.4,4,70,2643,44.0,8.82,8.81,17.2,0.0,0.0,0.87,870.0,0.0,4.09,0.0,-3,-4.09,11.0,11,5.0,5.0,5,5,0.3,2.0,0.0,0.0,0.0,23.6,23.3,0.0,5,5.0,6.0,-1.0,0,2,1,0,2.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,2.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,0,1.0,0.0,-2,-1.0,2,0,0,0,0,33.0,44.0,20.0,32.0,15.0,23.0,0.9,3.0,4.0,12.0,0.0,3.0,0.0,4.0,1.0,1.0,1,5,19.0,19.0,21.0,20.0,10.0,2.0,3.0,2.0,-0.1,-0.1,-0.2,212.16,9,3.0,104.9,-0.9,-0.18,1,-0.4307829160924542
18,2.25,86-04-28,Ostrava,,CZE,CZE,74,235,2004.0,6.0,180.0,R,Polak,Roman,D,TOR,75,4,7,2,5,11,10,-2.3,65,1817,80643,1339.2,17.83,17.87,32.5,25.0,7.6,0.93,1006.0,1.97,2.46,44.4,-11,-0.49,162.0,164,99.0,62.0,64,64,2.7,3.0,2.0,5.0,7.0,56.5,49.4,76.2,232,232.0,123.0,109.0,38,49,16,133,49.0,16.0,133.0,8.6,0,1,0.0,1.0,0.0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,5,33,2,0,26,23,0,0,13,24,6,23.0,4.0,-18,-13.5,20,3,0,0,1,1085.0,1544.0,837.0,1140.0,577.0,781.0,54.0,75.4,182.0,255.0,44.0,55.0,25.0,46.0,62.0,66.0,87,112,613.0,639.0,676.0,647.0,236.0,231.0,90.0,70.0,0.0,3.2,3.2,2783.42,433,12.4,117.8,11.8,0.16,0,0.8109302162163288
19,0.6,90-10-08,Faribault,MN,USA,USA,76,210,2009.0,4.0,114.0,L,Helgeson,Seth,D,N.J,9,1,0,0,0,1,2,0.4,15,177,7273,121.2,13.47,13.47,26.3,25.0,8.3,0.934,1018.0,1.98,1.98,50.0,0,0.0,11.0,11,8.0,3.0,3,3,0.2,0.0,0.0,0.0,0.0,53.0,44.3,0.0,16,16.0,6.0,10.0,5,0,0,11,0.0,0.0,11.0,9.9,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,2,0,0,0,3,0,3.0,1.0,-3,-1.5,0,3,0,0,0,90.0,111.0,74.0,81.0,48.0,61.0,4.4,5.3,13.0,11.0,4.0,4.0,2.0,8.0,0.0,6.0,2,14,55.0,62.0,63.0,34.0,8.0,5.0,11.0,5.0,0.1,0.5,0.6,340.46,45,0.0,99.5,1.0,0.11,0,-0.5108256237659907
20,5.0,94-03-09,Vancouver,BC,CAN,CAN,73,215,2012.0,1.0,5.0,L,Rielly,Morgan,D,TOR,76,6,21,14,7,27,-20,2.6,21,2335,101089,1669.7,22.05,22.06,37.1,39.7,7.9,0.903,982.0,2.44,3.41,41.7,-27,-0.97,,352,,,171,171,8.7,19.0,,14.0,,51.6,,305.4,46,46.0,112.0,-66.0,78,76,34,120,76.0,34.0,120.0,6.7,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,3,0,1,10,67,3,0,16,81,2,0,68,9,10,9.0,8.0,1,6.6,8,1,0,0,0,1621.0,1786.0,1223.0,1373.0,857.0,975.0,78.8,88.8,288.0,311.0,68.0,95.0,40.0,58.0,89.0,81.0,129,139,938.0,976.0,609.0,711.0,267.0,245.0,84.0,107.0,1.6,1.3,2.9,2832.12,188,10.0,122.4,34.9,0.46,0,1.6094379124341003
21,5.25,92-06-25,Wilcox,SK,CAN,CAN,70,188,2010.0,1.0,14.0,L,Schwartz,Jaden,LW/C,STL,78,19,36,24,12,55,14,8.7,18,2032,88482,1470.6,18.9,18.89,31.9,65.5,10.2,0.914,1016.0,3.43,2.16,61.3,31,1.26,303.0,303,241.0,179.0,179,179,22.0,80.0,17.0,16.0,33.0,26.2,23.9,360.7,71,71.0,110.0,-39.0,62,29,59,43,29.0,59.0,43.0,3.7,67,73,67.0,73.0,47.9,9.4,13,11,16,19,38,43,20,23,18,23,40,43,1,3,4,2,0,0,3,0,0,0,4,0,12,2,4,3,53,16,4,18,18,19,2,102,9,9,8.0,8.0,0,2.5,9,0,0,0,0,1503.0,1168.0,1108.0,854.0,827.0,618.0,73.8,49.2,239.0,153.0,84.0,53.0,56.0,31.0,57.0,50.0,113,81,780.0,713.0,367.0,479.0,141.0,167.0,65.0,68.0,4.1,2.3,6.4,3146.08,132,14.4,109.0,63.3,0.81,1,1.6582280766035324
22,0.925,96-05-01,Calgary,AB,CAN,SWE,72,190,2014.0,1.0,8.0,R,Nylander,William,C/RW,TOR,81,22,39,23,16,61,-3,7.2,32,1766,77820,1291.4,15.92,15.96,28.5,82.4,9.1,0.928,1019.0,3.44,2.04,62.7,30,1.39,361.0,363,284.0,204.0,205,205,19.7,67.0,6.0,21.0,27.0,31.8,29.0,391.4,25,25.0,,,81,30,59,16,30.0,59.0,16.0,1.5,49,73,49.0,73.0,40.2,10.4,9,11,15,29,25,33,19,24,21,21,24,48,0,1,2,1,0,0,1,0,1,6,1,0,13,0,5,13,63,8,1,11,77,12,2,94,16,6,16.0,6.0,-10,-6.6,16,0,0,0,0,1527.0,1091.0,1162.0,841.0,810.0,610.0,82.8,50.4,305.0,170.0,74.0,44.0,42.0,25.0,74.0,56.0,116,81,546.0,630.0,418.0,585.0,210.0,189.0,75.0,78.0,5.7,1.1,6.8,3233.56,73,5.3,121.6,61.0,0.75,1,-0.0779615414697118
23,1.6,90-11-29,Plzen,,CZE,CZE,79,220,,,,R,Sustr,Andrej,D,T.B,80,3,11,5,6,14,-10,-4.8,43,1813,84427,1404.6,17.58,17.58,31.6,35.0,6.5,0.917,982.0,1.71,2.78,38.1,-25,-1.07,164.0,164,119.0,93.0,93,93,3.4,7.0,2.0,6.0,8.0,49.3,46.1,144.5,45,45.0,103.0,-58.0,26,49,18,102,49.0,18.0,102.0,7.2,0,1,0.0,1.0,0.0,0.1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,3,21,2,0,24,10,2,1,54,20,3,21.0,1.0,-17,-12.9,19,1,0,0,0,1115.0,1413.0,854.0,1062.0,616.0,785.0,46.6,64.8,113.0,193.0,40.0,65.0,46.0,51.0,53.0,73.0,99,124,616.0,701.0,515.0,536.0,208.0,140.0,87.0,84.0,0.1,2.4,2.5,3033.39,191,3.3,108.0,14.2,0.18,0,0.47000362924573563
24,0.7175,96-11-26,Colorado Springs,CO,USA,USA,77,203,2015.0,2.0,37.0,R,Carlo,Brandon,D,BOS,82,6,10,3,7,16,9,5.3,59,2080,102414,1699.7,20.72,20.75,36.6,22.2,8.5,0.908,993.0,2.54,2.89,46.8,-10,-0.35,179.0,179,130.0,88.0,88,88,3.8,5.0,3.0,4.0,7.0,54.5,45.3,68.6,87,87.0,145.0,-58.0,42,42,21,115,42.0,21.0,115.0,7.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,1,0,0,1,0,1,4,37,2,0,30,17,0,0,39,28,5,28.0,7.0,-23,-12.9,27,1,0,0,0,1485.0,1643.0,1138.0,1237.0,845.0,891.0,67.1,74.0,202.0,240.0,72.0,82.0,43.0,48.0,73.0,65.0,116,113,867.0,780.0,611.0,655.0,268.0,226.0,117.0,89.0,0.4,4.8,5.2,2942.85,262,4.0,110.4,24.7,0.3,0,-0.33198233134836086
